"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","15","test","test_api","","","","修改用户状态接口",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","8","test","test_api","","","","修改用户状态为2",""
"failed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","5","test","test_api","","","","调试运算新功能,从响应提取后运算",""
"passed","Thu Dec 30 14:57:47 CST 2021","Thu Dec 30 14:57:47 CST 2021","22","test","test_api","","","","get请求实现登录",""
"failed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","5","test","test_api","","","","get请求查询用户数据列表",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","6","test","test_api","","","","调试自定义函数功能",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","7","test","test_api","","","","调试函数sum_data(),从path需要运算",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","20","test","test_api","","","","get请求查询用户数据列表",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","12","test","test_api","","","","删除用户zy7y",""
"passed","Thu Dec 30 14:57:47 CST 2021","Thu Dec 30 14:57:48 CST 2021","153","test","test_api","","","","post请求实现登录",""
"passed","Thu Dec 30 14:57:48 CST 2021","Thu Dec 30 14:57:48 CST 2021","106","test","test_api","","","","添加用户正常接口数据",""
